num_training_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
4,2,2,5,0.7987527775000013,1.0,0.25,0.8386024274753604
4,2,2,3,0.7987527775000013,1.0,0.35,0.8384635143580159
4,2,2,8,0.7987527775000013,1.0,0.55,0.8384320320120618
4,2,2,2,0.7987527775000013,1.0,0.05,0.838413807494151
4,2,2,3,0.7987527775000013,1.0,0.65,0.8383177076621263
4,2,2,3,0.7987527775000013,1.0,0.2,0.8382215374502732
4,2,2,4,0.7987527775000013,1.0,0.2,0.8381253979210471
4,2,2,8,0.7987527775000013,1.0,0.05,0.8381196913026658
4,2,2,2,0.7987527775000013,1.0,0.1,0.8380998463197813
4,2,2,1,0.7987527775000013,1.0,0.05,0.8379766670599702
4,2,2,9,0.7987527775000013,1.0,0.6,0.8379399859822284
4,2,2,2,0.7987527775000013,1.0,0.25,0.8378367244561112
4,2,2,3,0.7987527775000013,1.0,0.5,0.8378186249251137
4,2,2,3,0.7987527775000013,1.0,0.45,0.8377917340369356
4,2,2,4,0.7987527775000013,1.0,0.05,0.8377534748373276
4,2,2,7,0.7987527775000013,1.0,0.5,0.8376629951461314
4,2,2,3,0.7987527775000013,1.0,0.55,0.8375990124076029
4,2,2,10,0.7987527775000013,1.0,0.6,0.8374862635136257
4,2,2,4,0.7987527775000013,1.0,0.3,0.837315376196213
4,2,2,3,0.7987527775000013,1.0,0.6,0.83731198681343
4,2,2,9,0.7987527775000013,1.0,0.55,0.8372579250671734
4,2,2,2,0.7987527775000013,1.0,0.2,0.8371561329576621
4,2,2,5,0.7987527775000013,1.0,0.4,0.8370262932850684
4,2,2,2,0.7987527775000013,1.0,0.7,0.8370168817721909
4,2,2,2,0.7987527775000013,1.0,0.45,0.8369467997131868
4,2,2,10,0.7987527775000013,1.0,0.9,0.8368766348308769
4,2,2,9,0.7987527775000013,1.0,0.65,0.8368187504037258
4,2,2,4,0.7987527775000013,1.0,0.25,0.8367000948068253
4,2,2,1,0.7987527775000013,1.0,0.1,0.8366801577842308
4,2,2,8,0.7987527775000013,1.0,0.6,0.8366388866889451
4,2,2,1,0.7987527775000013,1.0,0.6,0.8366005370644288
4,2,2,4,0.7987527775000013,1.0,0.4,0.8364759034279733
4,2,2,10,0.7987527775000013,1.0,0.65,0.836364587959734
4,2,2,6,0.7987527775000013,1.0,0.5,0.8363502125432573
4,2,2,4,0.7987527775000013,1.0,0.35,0.8362898784316134
4,2,2,10,0.7987527775000013,1.0,0.95,0.8361341641336202
4,2,2,2,0.7987527775000013,1.0,0.6,0.8360365343276251
4,2,2,3,0.7987527775000013,1.0,0.7,0.8359799439684329
5,2,2,1,0.7201751135000012,1.0,1.0,0.8359175666778265
4,2,2,10,0.7987527775000013,1.0,0.85,0.8359003835191329
4,2,2,10,0.7987527775000013,1.0,0.7,0.8358607599724543
4,2,2,2,0.7987527775000013,1.0,0.5,0.8357977172535626
4,2,2,1,0.7987527775000013,1.0,0.7,0.8357680269207155
4,2,2,4,0.7987527775000013,1.0,0.45,0.8357017277211369
4,2,2,2,0.7987527775000013,1.0,0.65,0.835668055793867
4,2,2,8,0.7987527775000013,1.0,0.65,0.8354918484507632
4,2,2,5,0.7987527775000013,1.0,0.45,0.8354738069548449
4,2,2,7,0.7987527775000013,1.0,0.55,0.835454210435169
4,2,2,9,0.7987527775000013,1.0,0.05,0.835421342162478
4,2,2,9,0.7987527775000013,1.0,0.85,0.8353528880279336
4,2,2,10,0.7987527775000013,1.0,0.8,0.835351081436773
4,2,2,9,0.7987527775000013,1.0,0.7,0.8352480216085304
4,2,2,9,0.7987527775000013,1.0,0.8,0.835225868049874
3,2,2,3,1.0,1.0,0.45,0.8351401496922186
