num_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
1,1,1,3,0.5,0.1,0.05,0.7670072245235947
1,1,1,7,1.0,0.1,0.2,0.766937717526753
1,1,1,7,0.95,0.1,0.15,0.7668658428337606
1,1,1,6,1.0,0.1,0.2,0.7667386074322812
1,1,1,1,0.7,0.1,0.15,0.7667254207912316
1,1,1,2,0.95,0.1,0.15,0.7667173402062263
1,1,1,7,0.55,0.1,0.1,0.7667153241859077
1,1,1,10,0.3,0.1,0.05,0.7666675376435704
1,1,1,10,0.6,0.1,0.1,0.7666667413714118
1,1,1,3,0.65,0.1,0.15,0.7666115691583876
1,1,1,6,0.55,0.1,0.05,0.7666077360739406
1,1,1,6,0.45,0.1,0.1,0.7665847584366123
1,1,1,2,0.9,0.1,0.15,0.7665006719949929
1,1,1,3,0.8,0.1,0.2,0.7664651201118696
1,1,1,10,0.85,0.1,0.15,0.7664450079416202
1,1,1,3,0.4,0.1,0.1,0.7664436396198918
1,1,1,8,0.55,0.1,0.1,0.7663754918177615
1,1,1,9,0.9,0.1,0.15,0.7663733147943683
1,1,1,10,0.6,0.1,0.05,0.766366483031741
1,1,1,3,0.75,0.1,0.15,0.7663661975571311
1,1,1,10,0.65,0.1,0.1,0.7663639872578963
1,1,1,10,0.5,0.1,0.1,0.7663631005232749
1,1,1,9,0.5,0.1,0.1,0.7663541255730593
1,1,1,9,0.4,0.1,0.05,0.7663452000126821
1,1,1,7,0.85,0.1,0.1,0.7662829390769568
1,1,1,4,0.9,0.1,0.2,0.7662824164446667
1,1,1,9,0.95,0.1,0.15,0.7662736230021846
1,1,1,2,0.85,0.1,0.15,0.7662688038496316
1,1,1,6,0.2,0.1,0.05,0.7662105406385155
1,1,1,2,0.75,0.1,0.1,0.7661766765830171
1,1,1,9,0.55,0.1,0.05,0.7661599906062333
1,1,1,7,1.0,0.1,0.15,0.7661505750474974
1,1,1,2,1.0,0.1,0.15,0.7661483596549994
1,1,1,10,0.65,0.1,0.05,0.7661409634254687
1,1,1,3,0.85,0.1,0.2,0.7660980618917597
1,1,1,7,0.75,0.1,0.05,0.7660809044101251
1,1,1,8,0.35,0.1,0.05,0.7660802561493509
1,1,1,8,0.85,0.1,0.15,0.7660687822438416
1,1,1,5,0.8,0.1,0.1,0.7660562463261222
1,1,1,7,0.9,0.1,0.15,0.7660465312103607
1,1,1,10,0.95,0.1,0.2,0.7660388823431968
1,1,1,5,0.85,0.1,0.1,0.7660236276278025
1,1,1,10,0.55,0.1,0.1,0.7660024433840162
1,1,1,1,0.7,0.1,0.1,0.7659671145323159
1,1,1,10,0.9,0.1,0.15,0.7659318528368947
1,1,1,6,0.9,0.1,0.2,0.7659215323335049
1,1,1,5,0.9,0.1,0.1,0.7659091760246257
1,1,1,1,0.55,0.1,0.1,0.7658611876699677
1,1,1,6,1.0,0.1,0.15,0.7658272424216014
1,1,1,6,0.65,0.1,0.05,0.7658009761873926
1,1,1,6,0.45,0.1,0.05,0.7657871231336865
1,1,1,2,0.8,0.1,0.1,0.7657291258058763
1,1,1,6,0.95,0.1,0.2,0.7656309849023639
1,1,1,4,0.55,0.1,0.1,0.7656296324833131
1,1,1,7,0.4,0.1,0.05,0.76562126908955
1,1,1,10,0.45,0.1,0.05,0.7655739138027163
1,1,1,6,0.7,0.1,0.05,0.765503158966044
1,1,1,10,1.0,0.1,0.2,0.7654074461601085
1,1,1,8,0.75,0.1,0.05,0.7653810293306549
1,1,1,2,0.55,0.1,0.15,0.7653374808222678
1,1,1,6,0.85,0.1,0.15,0.7653045188076149
1,1,1,10,0.4,0.1,0.05,0.7652687998878978
1,1,1,8,0.95,0.1,0.15,0.7652403597924134
1,1,1,8,0.55,0.1,0.05,0.7652336690896063
1,1,1,10,0.7,0.1,0.1,0.7652247654166648
1,1,1,7,0.9,0.1,0.1,0.7651828014081677
1,1,1,6,0.75,0.1,0.15,0.7651725523878266
1,1,1,6,0.95,0.1,0.15,0.7651624793856364
1,1,1,6,0.5,0.1,0.1,0.7651573262871969
1,1,1,3,0.45,0.1,0.05,0.765146799023067
1,1,1,3,0.8,0.1,0.15,0.765103091687078
1,1,1,5,0.65,0.1,0.05,0.765056345088117
1,1,1,8,0.9,0.1,0.15,0.7649003943070277
1,1,1,7,0.8,0.1,0.1,0.7648658743561594
1,1,1,2,0.55,0.1,0.1,0.7648294258621114
1,1,1,6,0.8,0.1,0.15,0.7647287329947845
1,1,1,4,1.0,0.1,0.2,0.7645688925943855
1,1,1,6,0.75,0.1,0.1,0.7645442303142328
1,1,1,6,0.85,0.1,0.1,0.7645110937118522
1,1,1,7,0.55,0.1,0.05,0.7645046443435428
1,1,1,10,0.35,0.1,0.05,0.764503572176288
1,1,1,9,0.3,0.1,0.05,0.764491955295198
1,1,1,5,0.7,0.1,0.05,0.7644524420762708
1,1,1,8,0.4,0.1,0.05,0.7644333637602267
1,1,1,4,0.55,0.1,0.05,0.7643766339098528
1,1,1,2,0.55,0.1,0.05,0.7643569776140378
1,1,1,5,0.5,0.1,0.05,0.7643417667716229
1,1,1,4,0.85,0.1,0.15,0.7643403180903083
1,1,1,10,0.5,0.1,0.05,0.7643364734544467
1,1,1,5,0.95,0.1,0.1,0.7642963908384024
1,1,1,1,0.75,0.1,0.15,0.7642748211096316
1,1,1,8,0.8,0.1,0.05,0.7642725248428758
1,1,1,4,0.4,0.1,0.05,0.7641542794172649
1,1,1,6,0.8,0.1,0.1,0.7641496781683058
1,1,1,4,0.75,0.1,0.15,0.7641139662124345
1,1,1,4,0.95,0.1,0.2,0.7640845924061114
1,1,1,1,0.8,0.1,0.15,0.7640732228477679
1,1,1,4,0.9,0.1,0.15,0.7640083704269626
1,1,1,6,0.5,0.1,0.05,0.7639996315943897
1,1,1,8,1.0,0.1,0.15,0.7639886017279485
1,1,1,1,0.95,0.1,0.15,0.7639404242201018
1,1,1,9,0.35,0.1,0.05,0.7639370914762956
1,1,1,7,0.8,0.1,0.05,0.7639100483622361
1,1,1,9,0.75,0.1,0.1,0.7638616908126542
1,1,1,3,0.75,0.1,0.1,0.7638365646321911
1,1,1,4,0.95,0.1,0.15,0.7637711216715033
1,1,1,9,0.75,0.1,0.05,0.7637621558925246
1,1,1,9,0.45,0.1,0.05,0.7637224572752802
1,1,1,10,0.55,0.1,0.05,0.7637106581266383
1,1,1,5,0.75,0.1,0.05,0.7636944433760736
1,1,1,1,0.75,0.1,0.1,0.7636509968971763
1,1,1,7,0.85,0.1,0.05,0.763570837609245
1,1,1,5,1.0,0.1,0.15,0.7635522306380041
1,1,1,9,1.0,0.1,0.15,0.7635008787157166
1,1,1,4,0.45,0.1,0.05,0.7634957931948776
1,1,1,7,0.95,0.1,0.1,0.7634237993874581
1,1,1,6,0.9,0.1,0.15,0.7633984681032936
1,1,1,6,0.75,0.1,0.05,0.7633721902688119
1,1,1,2,0.6,0.1,0.05,0.7633625684675904
1,1,1,1,0.85,0.1,0.15,0.7633576499330276
1,1,1,3,0.85,0.1,0.15,0.76332601864169
1,1,1,1,0.55,0.1,0.05,0.7633167345521212
1,1,1,8,0.85,0.1,0.1,0.7631330516090643
1,1,1,3,0.4,0.1,0.05,0.7629437537289877
1,1,1,10,0.7,0.1,0.05,0.7629409277204336
1,1,1,7,0.5,0.1,0.05,0.7629275523031757
1,1,1,7,1.0,0.1,0.1,0.7629233729348728
1,1,1,3,0.6,0.1,0.05,0.7628847698134349
1,1,1,4,1.0,0.1,0.15,0.7628537719218887
1,1,1,8,0.45,0.1,0.05,0.7627898086963468
1,1,1,6,0.95,0.1,0.1,0.7626642543344397
1,1,1,7,0.45,0.1,0.05,0.7626254526366233
1,1,1,1,0.6,0.1,0.05,0.7626200216912703
1,1,1,4,0.75,0.1,0.1,0.762535746442265
1,1,1,8,0.9,0.1,0.1,0.7625059291079442
1,1,1,4,0.5,0.1,0.05,0.7624931632793903
1,1,1,4,0.65,0.1,0.05,0.7624773050714687
1,1,1,4,0.8,0.1,0.1,0.7623932588877144
1,1,1,9,0.5,0.1,0.05,0.762381920533205
1,1,1,10,0.95,0.1,0.15,0.7622920956687066
1,1,1,3,0.8,0.1,0.1,0.7622816281906609
1,1,1,1,1.0,0.1,0.15,0.7622433209930654
1,1,1,6,0.9,0.1,0.1,0.7622088436077156
1,1,1,9,0.95,0.1,0.1,0.7620872526478727
1,1,1,5,1.0,0.1,0.1,0.7620410715301499
1,1,1,3,0.65,0.1,0.1,0.7620246090317432
1,1,1,4,0.75,0.1,0.05,0.7619380098007803
1,1,1,3,0.7,0.1,0.1,0.7619140970159276
1,1,1,8,0.5,0.1,0.05,0.7618597625218806
1,1,1,6,1.0,0.1,0.1,0.7618498409141151
1,1,1,1,0.8,0.1,0.1,0.7617164813529885
1,1,1,10,0.9,0.1,0.1,0.7616162842240957
1,1,1,9,0.8,0.1,0.05,0.7614941173430261
1,1,1,8,0.95,0.1,0.1,0.7613983053604901
1,1,1,1,0.9,0.1,0.15,0.7612984543799622
1,1,1,4,0.7,0.1,0.05,0.7612875414375544
1,1,1,8,0.85,0.1,0.05,0.7612673648818026
1,1,1,3,0.9,0.1,0.15,0.7612202264233308
1,1,1,3,0.9,0.1,0.1,0.7612182247342935
